Customer ID,Recency,Frequency,Monetary,KMeans_Cluster,Cluster_Persona
12346.0,340,1,22.5,0,Hibernating / Low-Value
12369.0,85,1,17.85,1,Potential Loyalists
12385.0,15,1,22.5,1,Potential Loyalists
12412.0,175,1,20.4,2,At-Risk Customers
12415.0,56,2,40.8,1,Potential Loyalists
12419.0,49,1,6.6000000000000005,1,Potential Loyalists
12423.0,23,2,44.7,1,Potential Loyalists
12437.0,373,1,20.0,0,Hibernating / Low-Value
12472.0,178,2,27.6,2,At-Risk Customers
12477.0,161,3,39.86,2,At-Risk Customers
12484.0,317,1,6.8,0,Hibernating / Low-Value
12490.0,217,2,34.8,2,At-Risk Customers
12523.0,218,1,19.799999999999997,2,At-Risk Customers
12531.0,322,2,25.1,0,Hibernating / Low-Value
12537.0,44,1,13.2,1,Potential Loyalists
12539.0,352,1,22.5,0,Hibernating / Low-Value
12540.0,211,1,12.75,2,At-Risk Customers
12542.0,276,1,13.200000000000001,0,Hibernating / Low-Value
12543.0,84,1,10.2,1,Potential Loyalists
12573.0,19,1,3.4799999999999995,1,Potential Loyalists
12576.0,28,2,32.7,1,Potential Loyalists
12577.0,17,2,18.8,1,Potential Loyalists
12583.0,156,2,27.599999999999998,2,At-Risk Customers
12586.0,10,1,10.2,1,Potential Loyalists
12589.0,99,1,15.6,1,Potential Loyalists
12598.0,284,1,20.4,0,Hibernating / Low-Value
12609.0,134,1,15.0,2,At-Risk Customers
12616.0,24,1,19.799999999999997,1,Potential Loyalists
12621.0,304,1,5.04,0,Hibernating / Low-Value
12629.0,21,1,10.2,1,Potential Loyalists
12632.0,156,1,5.04,2,At-Risk Customers
12633.0,126,1,16.5,2,At-Risk Customers
12635.0,28,2,28.82,1,Potential Loyalists
12639.0,70,1,30.0,1,Potential Loyalists
12649.0,332,1,7.800000000000001,0,Hibernating / Low-Value
12662.0,17,2,21.1,1,Potential Loyalists
12665.0,305,1,20.0,0,Hibernating / Low-Value
12666.0,30,1,91.80000000000001,1,Potential Loyalists
12668.0,65,2,30.300000000000004,1,Potential Loyalists
12681.0,198,1,8.5,2,At-Risk Customers
12682.0,240,1,13.52,2,At-Risk Customers
12714.0,92,1,13.200000000000001,1,Potential Loyalists
12720.0,47,1,19.5,1,Potential Loyalists
12727.0,78,1,91.80000000000001,1,Potential Loyalists
12733.0,325,1,5.8,0,Hibernating / Low-Value
12744.0,95,3,39.81,1,Potential Loyalists
12748.0,5,12,43.18,1,Potential Loyalists
12751.0,80,1,3.75,1,Potential Loyalists
12758.0,261,1,10.5,0,Hibernating / Low-Value
12759.0,22,1,17.700000000000003,1,Potential Loyalists
12765.0,128,1,19.799999999999997,2,At-Risk Customers
12766.0,43,2,35.550000000000004,1,Potential Loyalists
12802.0,106,1,10.5,1,Potential Loyalists
12804.0,136,1,2.5,2,At-Risk Customers
12813.0,137,1,20.4,2,At-Risk Customers
12835.0,206,2,17.53,2,At-Risk Customers
12836.0,25,3,39.54,1,Potential Loyalists
12837.0,205,2,15.100000000000001,2,At-Risk Customers
12838.0,78,1,2.1,1,Potential Loyalists
12839.0,3,2,19.0,1,Potential Loyalists
12840.0,310,1,11.7,0,Hibernating / Low-Value
12841.0,18,2,20.4,1,Potential Loyalists
12844.0,229,1,1.25,2,At-Risk Customers
12847.0,23,1,26.4,1,Potential Loyalists
12855.0,8,2,12.299999999999999,1,Potential Loyalists
12863.0,225,2,55.2,2,At-Risk Customers
12865.0,112,1,15.0,1,Potential Loyalists
12867.0,33,1,1.6500000000000001,1,Potential Loyalists
12872.0,371,1,8.850000000000001,0,Hibernating / Low-Value
12898.0,295,1,2.2,0,Hibernating / Low-Value
12913.0,374,1,81.36,0,Hibernating / Low-Value
12916.0,320,1,11.8,0,Hibernating / Low-Value
12921.0,9,5,133.2,1,Potential Loyalists
12926.0,70,2,4.28,1,Potential Loyalists
12928.0,185,1,15.0,2,At-Risk Customers
12933.0,87,1,1.45,1,Potential Loyalists
12937.0,99,2,21.9,1,Potential Loyalists
12949.0,36,1,31.8,1,Potential Loyalists
12957.0,241,1,12.75,2,At-Risk Customers
12958.0,36,1,2.95,1,Potential Loyalists
12972.0,218,1,5.04,2,At-Risk Customers
12975.0,73,1,10.9,1,Potential Loyalists
12986.0,323,1,11.9,0,Hibernating / Low-Value
12987.0,56,1,17.700000000000003,1,Potential Loyalists
13001.0,227,1,68.0,2,At-Risk Customers
13013.0,134,2,57.3,2,At-Risk Customers
13015.0,239,1,19.8,2,At-Risk Customers
13021.0,42,1,50.400000000000006,1,Potential Loyalists
13024.0,106,1,17.0,1,Potential Loyalists
13026.0,362,1,12.600000000000001,0,Hibernating / Low-Value
13037.0,98,1,14.98,1,Potential Loyalists
13042.0,311,1,4.949999999999999,0,Hibernating / Low-Value
13044.0,236,2,9.3,2,At-Risk Customers
13047.0,106,3,111.30000000000001,1,Potential Loyalists
13050.0,330,1,15.0,0,Hibernating / Low-Value
13059.0,254,1,11.9,0,Hibernating / Low-Value
13069.0,5,3,105.85000000000001,1,Potential Loyalists
13077.0,99,1,3.25,1,Potential Loyalists
13081.0,144,4,60.0,2,At-Risk Customers
13089.0,64,5,175.12,1,Potential Loyalists
13097.0,78,2,17.5,1,Potential Loyalists
13101.0,197,1,3.75,2,At-Risk Customers
13102.0,176,1,35.400000000000006,2,At-Risk Customers
13110.0,289,1,7.5,0,Hibernating / Low-Value
13118.0,12,1,5.0,1,Potential Loyalists
13131.0,304,1,15.299999999999999,0,Hibernating / Low-Value
13137.0,36,3,16.0,1,Potential Loyalists
13148.0,25,3,26.25,1,Potential Loyalists
13173.0,197,2,14.4,2,At-Risk Customers
13174.0,77,1,3.75,1,Potential Loyalists
13177.0,66,1,15.0,1,Potential Loyalists
13206.0,213,3,18.35,2,At-Risk Customers
13207.0,248,1,35.7,2,At-Risk Customers
13213.0,141,1,8.5,2,At-Risk Customers
13214.0,163,1,10.08,2,At-Risk Customers
13230.0,1,3,16.25,1,Potential Loyalists
13234.0,368,2,9.2,0,Hibernating / Low-Value
13240.0,47,2,8.75,1,Potential Loyalists
13263.0,29,2,4.6,1,Potential Loyalists
13287.0,239,1,17.700000000000003,2,At-Risk Customers
13293.0,229,1,15.0,2,At-Risk Customers
13297.0,178,1,15.299999999999999,2,At-Risk Customers
13313.0,319,1,30.0,0,Hibernating / Low-Value
13319.0,128,1,13.200000000000001,2,At-Risk Customers
13357.0,263,1,5.1,0,Hibernating / Low-Value
13375.0,80,1,19.5,1,Potential Loyalists
13381.0,77,1,35.400000000000006,1,Potential Loyalists
13387.0,53,1,1.25,1,Potential Loyalists
13394.0,337,1,17.700000000000003,0,Hibernating / Low-Value
13407.0,297,1,15.6,0,Hibernating / Low-Value
13413.0,275,1,0.85,0,Hibernating / Low-Value
13418.0,143,3,76.8,2,At-Risk Customers
13426.0,275,2,30.04,0,Hibernating / Low-Value
13432.0,207,1,5.9,2,At-Risk Customers
13444.0,10,1,12.600000000000001,1,Potential Loyalists
13451.0,82,2,16.25,1,Potential Loyalists
13478.0,268,1,6.6000000000000005,0,Hibernating / Low-Value
13487.0,370,1,15.0,0,Hibernating / Low-Value
13488.0,123,2,23.72,2,At-Risk Customers
13490.0,290,1,15.9,0,Hibernating / Low-Value
13491.0,247,2,27.6,2,At-Risk Customers
13502.0,184,2,75.0,2,At-Risk Customers
13506.0,51,1,15.6,1,Potential Loyalists
13544.0,192,1,1.65,2,At-Risk Customers
13552.0,64,2,40.5,1,Potential Loyalists
13555.0,14,1,10.5,1,Potential Loyalists
13564.0,47,4,41.15,1,Potential Loyalists
13567.0,177,2,6.55,2,At-Risk Customers
13571.0,292,1,8.4,0,Hibernating / Low-Value
13574.0,47,1,2.1,1,Potential Loyalists
13577.0,57,1,19.5,1,Potential Loyalists
13581.0,50,1,9.9,1,Potential Loyalists
13589.0,369,1,22.5,0,Hibernating / Low-Value
13593.0,187,2,32.88,2,At-Risk Customers
13595.0,282,2,11.75,0,Hibernating / Low-Value
13599.0,67,1,35.400000000000006,1,Potential Loyalists
13601.0,28,2,21.35,1,Potential Loyalists
13615.0,35,3,42.900000000000006,1,Potential Loyalists
13643.0,18,1,16.5,1,Potential Loyalists
13654.0,47,1,10.2,1,Potential Loyalists
13659.0,239,2,44.75,2,At-Risk Customers
13663.0,58,2,30.5,1,Potential Loyalists
13666.0,56,1,15.299999999999999,1,Potential Loyalists
13671.0,30,1,1.65,1,Potential Loyalists
13680.0,107,4,14.350000000000001,1,Potential Loyalists
13693.0,337,1,16.5,0,Hibernating / Low-Value
13695.0,213,1,10.2,2,At-Risk Customers
13700.0,53,1,5.04,1,Potential Loyalists
13715.0,117,1,16.5,1,Potential Loyalists
13719.0,192,1,5.04,2,At-Risk Customers
13722.0,136,3,103.80000000000001,2,At-Risk Customers
13728.0,116,1,15.0,1,Potential Loyalists
13735.0,362,1,5.8,0,Hibernating / Low-Value
13746.0,49,1,35.400000000000006,1,Potential Loyalists
13772.0,36,1,0.55,1,Potential Loyalists
13778.0,201,1,17.700000000000003,2,At-Risk Customers
13786.0,243,1,11.9,2,At-Risk Customers
13787.0,291,1,20.4,0,Hibernating / Low-Value
